ND1;ND2;VA;V1;V2;Vb;Vb-V1;Vb-V2;a1;a2;x1;x2;phi1;phi2
1.40E+16;1.00E+16;-0.2;0.1874223;0.396103283;0.692716348;0.505294048;0.296613064;0.490870337;0.490870337;2.17E-05;1.97E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;-0.1;0.1874223;0.296103283;0.642045079;0.45462278;0.345941796;0.47502799;0.47502799;2.06E-05;2.12E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.1;0.1874223;0.096103283;0.550109845;0.362687545;0.454006562;0.444324352;0.444324352;1.84E-05;2.43E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.2;0.1874223;-0.003896717;0.508654629;0.321232329;0.512551345;0.429438258;0.429438258;1.73E-05;2.58E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.3;0.1874223;-0.103896717;0.470088103;0.282665803;0.573984819;0.414847259;0.414847259;1.62E-05;2.73E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.4;0.1874223;-0.203896717;0.434326041;0.246903741;0.638222757;0.400540599;0.400540599;1.52E-05;2.88E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.5;0.1874223;-0.303896717;0.401288232;0.213865932;0.705184949;0.386508096;0.386508096;1.41E-05;3.02E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.6;0.1874223;-0.403896717;0.370898218;0.183475918;0.774794934;0.372740105;0.372740105;1.31E-05;3.17E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.7;0.1874223;-0.503896717;0.343083049;0.155660749;0.846979766;0.359227473;0.359227473;1.20E-05;3.31E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.8;0.1874223;-0.603896717;0.317773068;0.130350769;0.921669785;0.345961515;0.345961515;1.10E-05;3.46E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;0.9;0.1874223;-0.703896717;0.294901702;0.107479402;0.998798419;0.332933976;0.332933976;1.00E-05;3.60E-05;0.407119981;0.398438997
1.60E+16;1.00E+16;0;0.18397719;0.196103283;0.563712436;0.379735246;0.367609152;#DIV/0!;#DIV/0!;1.76E-05;2.19E-05;0.379735246;0.367609152
1.60E+16;1.00E+16;-0.9;0.18397719;1.096103283;1.119606836;0.935629646;0.023503553;0.617660445;0.617660445;2.76E-05;5.90E-06;0.379735246;0.367609152
1.60E+16;1.00E+16;-0.8;0.18397719;0.996103283;1.040033088;0.856055898;0.043929805;0.595400816;0.595400816;2.64E-05;7.82E-06;0.379735246;0.367609152
1.60E+16;1.00E+16;-0.7;0.18397719;0.896103283;0.965523292;0.781546102;0.069420008;0.574015509;0.574015509;2.52E-05;9.69E-06;0.379735246;0.367609152
1.60E+16;1.00E+16;-0.6;0.18397719;0.796103283;0.89577731;0.71180012;0.099674026;0.553441456;0.553441456;2.40E-05;1.15E-05;0.379735246;0.367609152
1.60E+16;1.00E+16;-0.5;0.18397719;0.696103283;0.83052353;0.64654634;0.134420247;0.533622189;0.533622189;2.29E-05;1.33E-05;0.379735246;0.367609152
